ID,status_ID,button_ID,isInternal
bb000001-0000-0000-0000-000000000001,a0000001-0000-0000-0000-000000000001,b0000001-0000-0000-0000-000000000001,false
bb000002-0000-0000-0000-000000000002,a0000001-0000-0000-0000-000000000001,b0000002-0000-0000-0000-000000000002,false
bb000003-0000-0000-0000-000000000003,a0000001-0000-0000-0000-000000000001,b0000003-0000-0000-0000-000000000003,false
bb000004-0000-0000-0000-000000000004,a0000001-0000-0000-0000-000000000001,b0000004-0000-0000-0000-000000000004,false
bb000005-0000-0000-0000-000000000005,a0000003-0000-0000-0000-000000000003,b0000001-0000-0000-0000-000000000001,false
bb000006-0000-0000-0000-000000000006,a0000003-0000-0000-0000-000000000003,b0000002-0000-0000-0000-000000000002,false
bb000007-0000-0000-0000-000000000007,a0000003-0000-0000-0000-000000000003,b0000003-0000-0000-0000-000000000003,false
bb000008-0000-0000-0000-000000000008,a0000003-0000-0000-0000-000000000003,b0000004-0000-0000-0000-000000000004,false
bb000009-0000-0000-0000-000000000009,a0000003-0000-0000-0000-000000000003,b0000005-0000-0000-0000-000000000005,true
bb000010-0000-0000-0000-000000000010,a0000004-0000-0000-0000-000000000004,b0000001-0000-0000-0000-000000000001,false
bb000011-0000-0000-0000-000000000011,a0000004-0000-0000-0000-000000000004,b0000002-0000-0000-0000-000000000002,false
bb000012-0000-0000-0000-000000000012,a0000004-0000-0000-0000-000000000004,b0000003-0000-0000-0000-000000000003,false
bb000013-0000-0000-0000-000000000013,a0000004-0000-0000-0000-000000000004,b0000004-0000-0000-0000-000000000004,false
bb000014-0000-0000-0000-000000000014,a0000004-0000-0000-0000-000000000004,b0000005-0000-0000-0000-000000000005,true
bb000015-0000-0000-0000-000000000015,a0000005-0000-0000-0000-000000000005,b0000006-0000-0000-0000-000000000006,true
bb000016-0000-0000-0000-000000000016,a0000006-0000-0000-0000-000000000006,b0000007-0000-0000-0000-000000000007,true
bb000017-0000-0000-0000-000000000017,a0000006-0000-0000-0000-000000000006,b0000006-0000-0000-0000-000000000006,true
bb000018-0000-0000-0000-000000000018,a0000006-0000-0000-0000-000000000006,b0000008-0000-0000-0000-000000000008,true
bb000019-0000-0000-0000-000000000019,a0000008-0000-0000-0000-000000000008,b0000007-0000-0000-0000-000000000007,true
bb000020-0000-0000-0000-000000000020,a0000009-0000-0000-0000-000000000009,b0000001-0000-0000-0000-000000000001,false
bb000021-0000-0000-0000-000000000021,a0000009-0000-0000-0000-000000000009,b0000003-0000-0000-0000-000000000003,false
bb000022-0000-0000-0000-000000000022,a0000009-0000-0000-0000-000000000009,b0000002-0000-0000-0000-000000000002,false
bb000023-0000-0000-0000-000000000023,a0000009-0000-0000-0000-000000000009,b0000004-0000-0000-0000-000000000004,false
bb000024-0000-0000-0000-000000000024,a0000010-0000-0000-0000-000000000010,b0000001-0000-0000-0000-000000000001,false
bb000025-0000-0000-0000-000000000025,a0000010-0000-0000-0000-000000000010,b0000002-0000-0000-0000-000000000002,false
bb000026-0000-0000-0000-000000000026,a0000011-0000-0000-0000-000000000011,b0000009-0000-0000-0000-000000000009,true
bb000027-0000-0000-0000-000000000027,a0000012-0000-0000-0000-000000000012,b0000001-0000-0000-0000-000000000001,false
bb000028-0000-0000-0000-000000000028,a0000012-0000-0000-0000-000000000012,b0000002-0000-0000-0000-000000000002,false
bb000029-0000-0000-0000-000000000029,a0000013-0000-0000-0000-000000000013,b0000010-0000-0000-0000-000000000010,false
bb000030-0000-0000-0000-000000000030,a0000014-0000-0000-0000-000000000014,b0000011-0000-0000-0000-000000000011,true
bb000031-0000-0000-0000-000000000031,a0000014-0000-0000-0000-000000000014,b0000012-0000-0000-0000-000000000012,true
bb000032-0000-0000-0000-000000000032,a0000014-0000-0000-0000-000000000014,b0000013-0000-0000-0000-000000000013,true
bb000033-0000-0000-0000-000000000033,a0000015-0000-0000-0000-000000000015,b0000014-0000-0000-0000-000000000014,false
bb000034-0000-0000-0000-000000000034,a0000016-0000-0000-0000-000000000016,b0000011-0000-0000-0000-000000000011,true
bb000035-0000-0000-0000-000000000035,a0000017-0000-0000-0000-000000000017,b0000015-0000-0000-0000-000000000015,false
bb000036-0000-0000-0000-000000000036,a0000018-0000-0000-0000-000000000018,b0000010-0000-0000-0000-000000000010,false
bb000037-0000-0000-0000-000000000037,a0000019-0000-0000-0000-000000000019,b0000009-0000-0000-0000-000000000009,true
